subject,file,task,n_volumes,onset,duration,trial_type,stim_file
sub-313,sub-313_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-313,sub-313_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-313,sub-313_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-314,sub-314_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-314,sub-314_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-314,sub-314_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-314,sub-314_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-315,sub-315_task-black_bold.nii.gz,black,550,12,800,story,black_audio.wav
sub-315,sub-315_task-bronx_bold.nii.gz,bronx,390,12,536,story,bronx_audio.wav
sub-315,sub-315_task-forgot_bold.nii.gz,forgot,574,12,837,story,forgot_audio.wav
sub-315,sub-315_task-piemanpni_bold.nii.gz,piemanpni,294,12,400,story,piemanpni_audio.wav
sub-316,sub-316_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-317,sub-317_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-318,sub-318_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-319,sub-319_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-320,sub-320_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-321,sub-321_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-322,sub-322_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-323,sub-323_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-324,sub-324_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-324,sub-324_task-notthefallshortscram_bold.nii.gz,notthefallshortscram,400,"4.5,29.5","22.0,547.0","music,story","notthefallshortscram_audio.wav,notthefallshortscram_audio.wav"
sub-325,sub-325_task-notthefallshortscram_bold.nii.gz,notthefallshortscram,400,"4.5,29.5","22.0,547.0","music,story","notthefallshortscram_audio.wav,notthefallshortscram_audio.wav"
sub-325,sub-325_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-326,sub-326_task-notthefalllongscram_bold.nii.gz,notthefalllongscram,400,"4.5,29.5","22.0,547.0","music,story","notthefalllongscram_audio.wav,notthefalllongscram_audio.wav"
sub-326,sub-326_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-327,sub-327_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-327,sub-327_task-notthefalllongscram_bold.nii.gz,notthefalllongscram,400,"4.5,29.5","22.0,547.0","music,story","notthefalllongscram_audio.wav,notthefalllongscram_audio.wav"
sub-328,sub-328_task-notthefalllongscram_bold.nii.gz,notthefalllongscram,400,"4.5,29.5","22.0,547.0","music,story","notthefalllongscram_audio.wav,notthefalllongscram_audio.wav"
sub-328,sub-328_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-329,sub-329_task-notthefallshortscram_bold.nii.gz,notthefallshortscram,400,"4.5,29.5","22.0,547.0","music,story","notthefallshortscram_audio.wav,notthefallshortscram_audio.wav"
sub-329,sub-329_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-330,sub-330_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-330,sub-330_task-notthefalllongscram_bold.nii.gz,notthefalllongscram,400,"4.5,29.5","22.0,547.0","music,story","notthefalllongscram_audio.wav,notthefalllongscram_audio.wav"
sub-331,sub-331_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-331,sub-331_task-notthefalllongscram_bold.nii.gz,notthefalllongscram,400,"4.5,29.5","22.0,547.0","music,story","notthefalllongscram_audio.wav,notthefalllongscram_audio.wav"
sub-332,sub-332_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-332,sub-332_task-notthefallshortscram_bold.nii.gz,notthefallshortscram,400,"4.5,29.5","22.0,547.0","music,story","notthefallshortscram_audio.wav,notthefallshortscram_audio.wav"
sub-333,sub-333_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
